zinc_id,smiles
ZINC000069485950,CSCC[C@@H](N)C(=O)N[C@@H](C(=O)O)[C@@H](C)O
ZINC000034948948,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
ZINC000038615568,CCNCc1c(CSC)cnc(C)c1O
ZINC000056898781,CCCCOCCOC(=O)[C@@H](c1ccccc1)N1CCCCC1
ZINC000034718172,CCCCCCCCCCOS(N)(=O)=O
ZINC000013660026,C[C@@H]1CC[C@H](O)/C=C\C(=O)O[C@H](C)CC[C@H](O)/C=C\C(=O)O1
ZINC000001531880,COc1cc(C[C@@H]2COC[C@H]2Cc2ccc3c(c2)OCO3)cc(OC)c1OC
ZINC000040439688,O=C(O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H]1CCCN1
ZINC000032839165,N[C@H](Cc1ccccc1)C(=O)N1C[C@@H](O)C[C@@H]1C(=O)O
ZINC000030730885,O=C1C=C[C@H]([C@@H](F)C(=O)O)O1
ZINC000169300994,C=C1CC[C@@H](O)[C@]2(C)CC[C@H]3[C@H](OC(=O)[C@@H]3C)[C@@]12O
ZINC000002040949,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC=NS2(=O)=O
ZINC000003872204,CN1CCc2cn(C)c3c2C1=CC(=O)C3=O
ZINC000001533164,CNCCc1ccc(OP(=O)(O)O)c(O)c1
ZINC000040164529,C[C@]12C[C@H](O)[C@H]3[C@@H](CC[C@@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
ZINC000004102209,C[N+]1([O-])CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
ZINC000014646005,COc1ccc(-c2coc3cc(O)c(OC)c(O)c3c2=O)cc1O
ZINC000003785769,CN1C(=O)CC[C@@H]2c3ccc(Cl)cc3CC[C@H]21
ZINC000005273847,N[C@@H](CO)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)O
ZINC000004096247,O=P(O)(O)O[C@H]1OC[C@H](O)[C@H](O)[C@H]1O
ZINC000006092990,O=C1C2=C(CCCC2)C(=O)N1c1ccc(Cl)cc1
ZINC000004556674,NCCCC[C@H](N)C(=O)N[C@H](CC(=O)O)C(=O)O
ZINC000004098045,C=C1C(=O)O[C@@H]2C[C@H](C)[C@@H]3CCC(=O)[C@@]3(C)C[C@H]12
ZINC000002047236,N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)O
ZINC000002007904,O=C(O)C(=O)Nc1cc2ccccc2cc1C(=O)O
ZINC000004213578,CC[C@@H](COCCOc1c(I)cc(I)c(NC(C)=O)c1I)C(=O)O
ZINC000014616802,C[C@H](O)CCC[C@H](O)CCO
ZINC000008219146,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO[P@@](=O)(O)OP(=O)(O)O
ZINC000000895921,N=C(CC(=O)O)C(=O)O
ZINC000028631755,CC(C)C[C@@H](NC(=O)[C@@H](N)CO)C(=O)O
ZINC000095618105,CCCC[C@H]1C[C@H](C(=O)O)C(=O)O1
ZINC000004214343,CC(C)N(CCO/N=C1\CCCCC\C1=C/c1ccccc1)C(C)C
ZINC000169621243,COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)cc(O)c1O
ZINC000014506962,CC(C)C[C@H](NC(=O)[C@H]1C[C@@H](O)CN1)C(=O)O
ZINC000095620552,CCCCc1scnc1CC
ZINC000095884380,Cc1cc(O)c2c(c1)O[C@]1(C)CC[C@@H]3C(C)(C)CCC[C@@]34CO[C@@H]2[C@@H]14
